bigquery-public-data,austin_bikeshare,bikeshare_stations,station_id,Unique identifier of a station.,INTEGER,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_stations,name,Public name of the station.,STRING,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_stations,status,"Status of the station. Allowed values: active, closed, moved, ACL only",STRING,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_stations,latitude,The latitude of station. The field value must be a valid WGS 84 latitude in decimal degrees format.,FLOAT,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_stations,longitude,The longitude of station. The field value must be a valid WGS 84 longitude in decimal degrees format.,FLOAT,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_stations,location,The latitude and longitude of the station.,STRING,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,trip_id,Numeric ID of bike trip,INTEGER,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,subscriber_type,Type of the Subscriber,STRING,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,bikeid,ID of bike used,INTEGER,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,start_time,Start timestamp of trip,TIMESTAMP,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,start_station_id,Numeric reference for start station,INTEGER,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,start_station_name,Station name for start station,STRING,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,end_station_id,Numeric reference for end station,INTEGER,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,end_station_name,Station name for end station,STRING,NULLABLE
bigquery-public-data,austin_bikeshare,bikeshare_trips,duration_minutes,Time of trip in minutes,INTEGER,NULLABLE
